title,handle,position,person_office,branch,party
Democratic Party,TheDemocrats,Democratic Party,Office,Political Party,Democrat
Republican National Comittee,GOP,Republican National Comittee,Office,Political Party,Republican
Libertarian Party,LPNational,Libertarian Party,Office,Political Party,Libertarian
Green Party,GreenPartyUS,Green Party,Office,Political Party,Green
Constitution Party,cnstitutionprty,Constitution Party,Office,Political Party,Constitution
Donna Braizle,donnabrazile,Interim Chair of the Democratic Party,Person,Political Party,Democrat
Raymond Buckley,ChairmanBuckley,Vice Chair of the Democratic Party,Person,Political Party,Democrat
Maria Elena Durazo,MariaEDurazo,Vice Chair of the Democratic Party,Person,Political Party,Democrat
Mayor R.T. Rybak,R_T_Rybak,Vice Chair of the Democratic Party,Person,Political Party,Democrat
Rep. Grace Meng,RepGraceMeng,Vice Chair of the Democratic Party,Person,Political Party,Democrat
Reince Priebus,Reince ,Chair of the Republican Party,Person,Political Party,Republican
Sharon Day ,SharonDay ,Co-Chair of the Republican Party,Person,Political Party,Republican
Frank Fluckiger,n/a,National Chairman of the Constitution Party,Person,Political Party,Constitution
Jennifer Young,n/a,National Vice Chairman of the Constitution Party,Person,Political Party,Constitution
Chris Blankenhorn,CMBlankenhorn,Co-Chair for the Green Party ,Person,Political Party,Green
Darlene Elias,n/a,Co-Chair for the Green Party ,Person,Political Party,Green
Darryl Moch,Moch4DChange,Co-Chair for the Green Party ,Person,Political Party,Green
Sanda Everette,ecosanda,Co-Chair for the Green Party ,Person,Political Party,Green
Andrea Merida,andreamerida,Co-Chair for the Green Party ,Person,Political Party,Green
Tamar Yager,n/a,Co-Chair for the Green Party ,Person,Political Party,Green
Bahram Zandi,n/a,Co-Chair for the Green Party ,Person,Political Party,Green
Nicholas Sarwark,nsarwark,Chairman of the Libertarian Party,Person,Political Party,Libertarian
Arvin Vohra,VoteVohra,Vice Chair of the Libertarian Party,Person,Political Party,Libertarian